4.9493,4.2981,4.2809,4.3855,4.6917,5.2388,5.9979,7.0481,7.8887,8.6857,9.4155,9.9729,10.4045,10.7134,11.0467,11.3273,11.3813,11.0905,10.7463,10.0662,9.1187,8.2841,7.2415,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.8393,4.1787,3.8883,4.0521,4.4597,5.0066,5.8417,6.6404,7.4908,8.2382,8.9619,9.5138,10.0338,10.5003,10.9242,10.9698,10.9317,10.7281,10.3968,9.7816,9.0418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.4861,3.8428,3.6777,3.9664,4.3374,4.9049,5.4927,6.3042,7.0901,7.8647,8.6168,9.2774,9.7498,10.4035,10.9121,10.7804,10.6347,10.4333,10.1921,9.5786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.9454,3.4419,3.4118,3.8391,4.3730,4.9483,5.4287,6.1497,6.9681,7.7255,8.5528,9.1589,9.7040,10.3541,10.7143,10.5911,10.3650,10.0616,9.9201,9.3065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.6265,3.1693,3.4114,3.9615,4.5765,5.0778,5.9245,6.2056,6.8659,7.3624,NaN,NaN,9.3506,9.8422,10.1830,10.1728,9.9849,9.4348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,3.2836,NaN,NaN,NaN,NaN,5.9469,6.3164,6.7802,7.2806,NaN,8.2118,8.8216,9.4235,10.0435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.4356,3.4852,3.9043,4.4544,5.0168,5.6007,6.0508,6.4835,6.8374,7.1959,7.3776,7.8051,8.0042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.2870,8.2678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7931,5.4086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.1940,8.4314,8.6836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7456,4.6506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.1486,8.4564,8.6453,8.9607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3623,4.4511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.9264,8.2995,8.6409,8.9679,9.2702,NaN,NaN,NaN,NaN,NaN,NaN,3.4391,2.7629,2.8731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.7422,8.0310,8.5161,9.0273,9.5175,9.9645,9.8540,NaN,NaN,NaN,NaN,NaN,2.4386,2.6308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7302,1.8260
7.4603,7.7427,8.2495,8.7169,9.4118,10.0490,10.4494,10.5063,NaN,NaN,NaN,NaN,2.8428,3.3903,3.8289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3032,NaN,NaN
7.1517,7.3131,7.8864,8.5699,9.2190,9.8784,10.3374,10.5994,10.4490,10.4485,NaN,13.2856,7.8041,6.7261,6.3749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2259,1.0416,NaN,NaN
6.8041,6.9522,7.3704,8.0744,9.0344,9.7180,10.1468,10.3938,10.3230,10.3904,12.1137,12.7335,11.0557,10.2213,9.5059,7.3726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3770,NaN,NaN,NaN
6.4926,6.5924,6.8810,7.5662,8.5565,9.3203,9.6614,9.9516,9.8249,10.6058,12.6206,12.8172,NaN,11.1867,10.3586,7.8074,6.0147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1675,NaN,NaN,NaN,NaN
6.4553,6.5416,6.7791,7.0149,7.5842,8.3845,8.8367,9.2970,9.5363,10.8601,12.0339,11.7495,NaN,9.1069,8.8217,8.1124,6.8881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
